producto,precio,tamaño,sizes_format
Burger americana gruesas,3.00,0.36,kg
Burger de pollo certificado gruesas alimentado con un 50% de maíz,3.40,0.36,kg
Burger de cerdo ibérico gruesas,3.00,0.36,kg
Burger de pollo y zanahoria,2.31,0.24,kg
Burger Crunchy Chicken,2.05,0.24,kg
Hamburguesa de lomo de vacuno,3.70,0.24,kg
Burger de vaca madurada,2.60,0.18,kg
Preparado de carne picada vacuno y cerdo,3.60,0.5,kg
Preparado de carne picada vacuno y cerdo,6.50,1.0,kg
Preparado de carne picada cerdo,2.85,0.5,kg
Preparado de carne picada vacuno,3.95,0.5,kg
Preparado de carne picada vacuno,7.30,1.0,kg
Albóndigas de cerdo,4.55,0.84,kg
Albóndigas de pollo,6.00,0.84,kg
Preparado de carne picada vacuno,4.50,0.4,kg
Preparado de carne picada pollo,3.55,0.5,kg
Filetes de vacuno 1º B añojo para plancha o guisar,7.25,0.5,kg
Tacos de vacuno añojo para guisar,7.80,0.6,kg
Lomo de vacuno añojo para plancha,9.25,0.5,kg
Solomillo de vacuno añojo para plancha,11.07,0.3,kg
Carpaccio de vacuno,3.75,0.11,kg
Filetes de vacuno añojo para plancha,7.60,0.5,kg
Entrecot de vacuno añojo fino para barbacoa o plancha,11.10,0.5,kg
Entrecot de vacuno añojo grueso para barbacoa o plancha,8.44,0.38,kg
Filetes hígado de vacuno añojo,5.52,0.6,kg
Entrecot de vacuno angus para barbacoa o plancha,11.22,0.33,kg
Chuletón de vacuno añojo para barbacoa o plancha,10.45,0.55,kg
Filetes de vacuno marinado extra tiernos,7.50,0.5,kg
Steak Tartar de vacuno marinado,5.50,0.2,kg
Nuggets de pollo Hacendado ultracongelados,2.70,0.5,kg
Delicias de pollo Hacendado ultracongeladas,3.60,0.5,kg
Croquetas de cocido Hacendado ultracongeladas,2.10,0.35,kg
Nuggets de pavo Hacendado ultracongelados,3.20,0.4,kg
Pollo marinado rebozado Crispy American Style Hacendado ultracongeladas,4.50,0.5,kg
Brochetas de pollo con varilla,3.14,0.37,kg
Flautas de pollo y queso,2.00,0.28,kg
Flautas de bacón y queso,2.00,0.28,kg
Lomo de cerdo adobado,3.29,0.47,kg
Lomo de cerdo adobado familiar,6.08,0.9,kg
San Jacobos de cerdo sin gluten,2.52,0.4,kg
Pechugas de pollo finas hierbas marinadas,4.81,0.65,kg
Pechugas de pollo marinadas empanadas sin gluten,2.81,0.36,kg
Pinchos de cerdo sin varilla,4.05,0.51,kg
Medallones preparado de solomillo cerdo provenzal,4.14,0.4,kg
Alas de pollo adobadas,3.33,0.68,kg
Fiambre de magro de cerdo adobado,2.68,0.37,kg
Costilla de cerdo ibérico adobada,3.43,0.5,kg
Brochetas de pavo con varilla,4.05,0.5,kg
Filetes lomo al ajillo,3.88,0.5,kg
Pechugas de pavo pimentón,4.81,0.58,kg
Chuletas de cerdo sajonia,2.77,0.29,kg
Callos preparados de ternera Rogusa,3.75,0.5,kg
Oreja de cerdo cocida adobada Rogusa,4.25,0.5,kg
Lagrimitas de pollo al limón empanadas sin gluten,2.89,0.34,kg
Pechugas de pollo rellenas de jamón y queso empanadas sin gluten,4.55,0.45,kg
Solomillos de pollo marinados empanados sin gluten,3.95,0.465,kg
Medallones pechuga de pollo al ajillo,4.45,0.65,kg
Cereales rellenos de leche Hacendado,2.50,0.5,kg
Mini cereales rellenos de leche Hacendado,1.90,0.175,kg
Cereales rellenos de chocolate y avellana Hacendado,2.00,0.5,kg
Cereales estrellas de maíz Stars Hacendado con miel,2.10,0.4,kg
Cereales copos de maíz Corn Flakes Hacendado 0% azúcares añadidos,1.50,0.5,kg
Cereales de arroz inflado Choco Rice Hacendado con chocolate,2.10,0.5,kg
Cereales copos de maíz Corn Flakes Kellogg's,3.00,0.5,kg
Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,3.55,0.42,kg
Cereales copos de trigo Chocodays Hacendado con chocolate,1.90,0.5,kg
Cereales rellenos de crema de cacao y avellana Hacendado sin gluten,2.25,0.4,kg
Copos de avena sin gluten Hacendado,2.10,0.5,kg
Copos de avena Brüggen,1.35,0.8,kg
Cereales copos de trigo integral y arroz Special K Classic,3.25,0.45,kg
Muesli Crunchy Hacendado con chocolate,2.25,0.5,kg
Cereales copos de trigo integral y arroz Hacendado 0% azúcares añadidos,2.00,0.5,kg
Cereales copos de trigo espelta integral Hacendado 0% azúcares añadidos,1.70,0.4,kg
Muesli Crunchy Hacendado con frutos secos,2.10,0.5,kg
Muesli Crunchy Hacendado 0% azúcares añadidos 0% edulcorantes,2.00,0.5,kg
Cereales copos de trigo integral y arroz Hacendado bañados en chocolate con leche,2.35,0.375,kg
Cereales copos tostados de trigo integral y arroz Hacendado con chocolate,2.15,0.425,kg
Cereales de trigo entero integral Weetabix,3.39,0.43,kg
Muesli Crunchy Hacendado con fruta,2.10,0.5,kg
Avena molida Hacendado,1.11,0.5,kg
Salvado de avena Hacendado,1.65,0.5,kg
Cereales y semillas granola Hacendado con frutos secos,2.40,0.4,kg
Cereales con salvado de trigo Fibra Sticks Hacendado,1.80,0.5,kg
Muesli Hacendado con frutas,2.30,1.0,kg
Muesli Hacendado 50% frutas y frutos secos,2.00,0.5,kg
Salvado de trigo integral Hacendado,1.35,0.25,kg
"Muesli Hacendado con quinoa, chía y chocolate negro",2.25,0.4,kg
Cereales Cereal Mix Hacendado 0% azúcares añadidos,2.40,0.375,kg
Cereales avena Crunchy Hacendado,1.90,0.4,kg
Cereales avena Crunchy Hacendado de cacao,2.05,0.4,kg
Barritas de cereales Hacendado chocolate con leche,1.45,0.12,kg
Barritas de cereales Hacendado con chocolate blanco,1.45,0.127,kg
Barritas de cereales muesli Hacendado con chocolate,1.45,0.138,kg
Barritas de cereales con frutos secos Hacendado,1.60,0.15,kg
Barritas Sustitutivo de comida Belladieta sabor avena y chocolate con leche,3.10,0.12,kg
Barritas con proteínas Enervit Sport sabor coco y chocolate,3.35,0.12,kg
Barrita con proteínas Enervit Sport sabor chocolate negro,5.15,0.18,kg
Barritas de espelta Hacendado sabor manzana,1.45,0.12,kg
Barritas de avena Hacendado con chocolate negro,2.35,0.252,kg
Barritas de galleta rellenas de arándanos Hacendado,1.45,0.125,kg
Barritas de cereales Hacendado sabor mango,1.60,0.12,kg
Galletas María dorada Hacendado,1.45,0.8,kg
Galletas Divertidas con cereales Hacendado,2.05,0.411,kg
Galletas tostadas Tosta Rica,3.00,0.57,kg
Galletas tostadas Animadas Hacendado,1.50,0.6,kg
Galletas tostadas Hacendado,1.45,0.8,kg
Galletas Relieve Hacendado,1.50,0.645,kg
Galletas María dorada Hacendado 0% azúcares añadidos,1.50,0.4,kg
Galletas María Fontaneda,3.30,0.8,kg
Galletas María sin gluten y sin lactosa Hacendado,1.55,0.205,kg
Galletas tradicionales Hacendado,2.15,0.6,kg
Galletas María Hacendado,1.45,0.8,kg
Galletas canela Hacendado,1.50,0.5,kg
Galletas Digestive Hacendado,1.60,0.8,kg
Galletas Digestive avena Hacendado,1.10,0.425,kg
Galletas Digestive 0% azúcares añadidos Hacendado,1.40,0.4,kg
Galletas Cereales & fibra Hacendado,1.25,0.285,kg
Galletas de espelta Hacendado 0% azúcares añadidos,1.25,0.2,kg
Galletas Digestive fibra 23% Hacendado,1.70,0.4,kg
Galletas María Integral Hacendado,1.50,0.8,kg
Galletas Digestive avena Hacendado,1.85,0.384,kg
Galletas Cookies Hacendado,1.20,0.225,kg
Galletas rebuenas Hacendado rellenas de chocolate,1.25,0.5,kg
Galletas mini Oreo,2.00,0.16,kg
Galletas Chocominis sabor chocolate Hacendado,2.00,0.5,kg
Galletas Digestive chocolate con leche Hacendado,1.20,0.3,kg
Galletas Roditas bañadas con chocolate blanco Hacendado,1.90,0.3,kg
Galletas mini caritas Hacendado con crema de cacao,1.35,0.329,kg
Galletas Caocream Hacendado rellenas de crema,1.45,0.44,kg
Galletas Choco negro con chocolatina Hacendado,1.40,0.15,kg
Barritas de galleta bañadas en chocolate con leche Chips Ahoy,1.25,0.14,kg
Galletas mini cookies Hacendado,1.30,0.16,kg
Galletas con chocolate y crema de leche Hacendado,2.30,0.268,kg
Galletas Caocream chocolate blanco Hacendado rellenas de crema,1.70,0.252,kg
Galletas rellenas de chocolate Hacendado 0% azúcares añadidos,1.40,0.25,kg
Barquillos rellenos sabor nata Hacendado,1.00,0.21,kg
Barquillos rellenos de chocolate Hacendado,1.00,0.21,kg
Galletas con chocolate blanco Hacendado,1.55,0.2358,kg
Galletas Digestive avena chocolate con leche Hacendado,1.50,0.28,kg
Barquillos rellenos de nata Hacendado 0% azúcares añadidos,1.10,0.21,kg
Galletas cookies sin gluten y sin lactosa Hacendado,1.95,0.2,kg
Galletas Choco leche con chocolatina Hacendado,1.40,0.15,kg
Galletas María choco Hacendado,1.10,0.265,kg
Tartaletes con relleno de fresa Hacendado,1.05,0.15,kg
Barquillos con crema de avellanas Hacendado,1.50,0.25,kg
Galletas Diverkao Hacendado,1.55,0.312,kg
Tubitos bañados chocolate negro Hacendado,2.10,0.15,kg
Rosquillas de chocolate con leche y coco Hacendado,1.65,0.3,kg
Galletas Crunchy Choc Hacendado,2.55,0.52,kg
Galletas Divertidas chocolate con leche Hacendado,2.00,0.251,kg
Galletas Choco con relleno de crema de cacao Hacendado recubiertas de chocolate con leche,1.70,0.145,kg
Galletas Cream Cookies Hacendado,1.45,0.16,kg
Galletas caramelizadas Lotus Biscoff,1.50,0.186,kg
Galletas con mantequilla Hacendado,1.05,0.125,kg
Surtido de galletas y barquillos Hacendado,2.15,0.5,kg
Galletas de mantequilla y chocolate Hacendado,2.85,0.34,kg
Galletas de mantequilla Hacendado Belgas,1.60,0.18,kg
Surtido de pastas artesanas Hacendado,2.35,0.5,kg
Obleas redondas Hacendado,2.45,0.255,kg
Obleas para helado Hacendado,0.70,0.052,kg
Tubitos Hacendado,2.00,0.175,kg
Pastas de aceite Hacendado,1.20,0.25,kg
Tortitas de maíz Hacendado,1.10,0.12,kg
Tortitas de maíz con chocolate Hacendado,1.70,0.13,kg
Tortitas de arroz con chocolate blanco sabor yogur Hacendado,1.70,0.12,kg
Tortitas de arroz Hacendado,1.15,0.124,kg
Tortitas de arroz con chocolate con leche Hacendado,1.70,0.13,kg
Tortitas de legumbres y arroz Hacendado,1.75,0.109,kg
Tortitas de maíz con sabor a jamón Hacendado,1.75,0.14,kg
Pechuga de pavo bajo en sal Hacendado finas lonchas,3.30,0.4,kg
Pechuga de pavo bajo en sal Hacendado finas lonchas,2.10,0.225,kg
Pechuga de pavo Hacendado finas lonchas,3.30,0.4,kg
Pechuga de pavo finas lonchas Hacendado,1.90,0.2,kg
Salchichón de pavo extra Hacendado lonchas,2.38,0.15,kg
Lomo de pavo Hacendado lonchas,2.49,0.1,kg
Longaniza de pavo extra Hacendado lonchas,2.38,0.125,kg
Tiras de pechuga pollo al horno Hacendado,1.95,0.14,kg
Jamón de pavo Hacendado finas lonchas,1.66,0.225,kg
Dados de pavo Hacendado,2.16,0.2,kg
Tiras de pechuga de pollo al natural Hacendado,1.95,0.14,kg
Sticks longaniza de pollo extra Hacendado,1.30,0.05,kg
Pechuga de pollo braseada Hacendado finas lonchas,2.15,0.2,kg
Mortadela de pavo Hacendado finas lonchas,1.19,0.15,kg
Pechuga de pavo al horno de leña Campofrío lonchas,1.70,0.125,kg
Pechuga de pollo Hacendado finas lonchas,2.11,0.2,kg
Pechuga de pavo 92% Hacendado lonchas,2.55,0.2,kg
Pechuga de pavo Noel lonchas muy finas,2.07,0.2,kg
Pollo relleno asado al horno La Carloteña lonchas,2.25,0.15,kg
Jamón de pavo Hacendado,2.46,0.5,kg
Longaniza de pavo Imperial extra Hacendado,3.76,0.235,kg
Pollo relleno con trufa y pistachos La Carloteña lonchas,2.15,0.125,kg
Cabeza de cerdo finas lonchas Hacendado,1.70,0.15,kg
Pechuguita de pollo asada La Carloteña lonchas,2.50,0.125,kg
Maxi pavo Hacendado finas lonchas,2.65,0.4,kg
Mortadela de pavo con aceitunas Hacendado finas lonchas,1.25,0.15,kg
Maxi pavo Hacendado,4.70,0.9,kg
Jamón cocido extra Hacendado finas lonchas,3.45,0.45,kg
Jamón cocido extra Hacendado finas lonchas,2.05,0.2,kg
Jamón cocido extra Hacendado lonchas,2.04,0.2,kg
Jamón cocido Hacendado lonchas,2.41,0.2,kg
Jamón cocido extra sándwich Hacendado lonchas,2.05,0.25,kg
Maxi york Hacendado finas lonchas,2.38,0.5,kg
Jamón cocido extra Noel lonchas,2.29,0.2,kg
Jamón cocido jugoso Hacendado,1.82,0.225,kg
Jamón cocido braseado Noel lonchas,2.24,0.2,kg
Jamón cocido Noel lonchas,2.30,0.12,kg
Fiambre magro sándwich Hacendado lonchas,1.85,0.3,kg
Jamón cocido bajo en sal Hacendado finas lonchas,2.23,0.225,kg
Lacón cortado a mano Noel,3.40,0.25,kg
Magro de cerdo cocido Coren,2.69,0.24,kg
Maxi york Hacendado,6.24,2.0,kg
Lacón al horno Noel lonchas,2.19,0.2,kg
Maxi lomo Hacendado finas lonchas,2.60,0.4,kg
Pechuga de pollo 92% Hacendado lonchas,2.55,0.2,kg
Bacón Hacendado cintas,2.20,0.25,kg
Bacón ahumado La Selva lonchas,2.10,0.21,kg
Bacón Oscar Mayer lonchas,2.29,0.15,kg
Bacón ahumado sin corteza La Selva,2.85,0.3,kg
Panceta salada ibérica La Hacienda del ibérico,2.70,0.36,kg
Lomo back bacon Hacendado,2.65,0.2,kg
Panceta curada sin corteza La Selva lonchas,2.35,0.2,kg
Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado,1.75,0.704,kg
Salchichas cocidas Hacendado de pollo y pavo sabor ahumado,1.30,0.4,kg
Salchichas cocidas Schara de cerdo ahumadas,4.25,0.34,kg
Salchichas cocidas estilo Viena con queso Hacendado de pollo y cerdo sabor ahumado,1.40,0.4,kg
"Salchichas cocidas con leche Campofrío de pollo, cerdo y pavo",1.05,0.17,kg
Salchichas cocidas hot dog bocadillo Oscar Mayer Classic de pollo y cerdo sabor ahumado,1.75,0.275,kg
Salchichas cocidas estilo Frankfurt con queso Hacendado de pollo y cerdo sabor ahumado,1.85,0.64,kg
Salchichas cocidas bocata Hacendado de pollo y pavo sabor ahumado,1.82,0.4,kg
Salchichas cocidas bocata gourmet Hacendado de cerdo sabor ahumado,2.20,0.35,kg
Salchichas cocidas de cerdo estilo Bratwurst Hacendado,2.25,0.35,kg
Salchichas cocidas bocata queso Hacendado,1.86,0.35,kg
Salchichas cocidas bocata Hacendado,1.62,0.35,kg
Salchichas cocidas Frankfurt La Selva,2.25,0.46,kg
Salchichas cocidas estilo Frankfurt Campofrío sabor ahumado,2.25,0.56,kg
Chopped cerdo Hacendado lonchas,1.39,0.25,kg
Chopped cocido en lata Hacendado finas lonchas,1.71,0.15,kg
Chopped Hacendado,2.25,0.5,kg
Mortadela Hacendado lonchas,1.25,0.25,kg
Mortadela con aceitunas Hacendado lonchas,1.25,0.25,kg
Mortadela italiana Hacendado finas lonchas,1.75,0.15,kg
Mortadela Hacendado,3.60,0.9,kg
Galantina con pistacho y trufa Hacendado finas lonchas,1.80,0.15,kg
Mortadela de pavo Hacendado finas lonchas,1.19,0.15,kg
Cabeza de cerdo trufa con pistachos Hacendado finas lonchas,2.25,0.15,kg
Mortadela de pavo con aceitunas Hacendado finas lonchas,1.25,0.15,kg
Fuet espetec extra Hacendado,2.57,1.0,ud
Salchichón extra Hacendado lonchas,2.05,0.24,kg
Sticks longaniza extra Hacendado,1.10,0.05,kg
Longaniza de Pascua extra Hacendado,2.43,0.14,kg
Salchichón extra Hacendado lonchas,2.27,0.18,kg
Longaniza de payés extra Hacendado lonchas,2.07,0.125,kg
Salami extra Hacendado lonchas,1.95,0.24,kg
Salchichón extra pimienta Hacendado finas lonchas,1.85,0.1,kg
Salchichón de cebo ibérico cortado a máquina,2.40,0.09,kg
Salchichón de bellota ibérico cortado a máquina,2.92,0.09,kg
Salchichón ibérico extra La Hacienda del ibérico lonchas,2.10,0.125,kg
Longaniza de pavo Imperial extra Hacendado,3.76,0.235,kg
Longaniza clásica extra Hacendado,2.80,1.0,ud
Longaniza de payés extra Hacendado,4.98,1.0,ud
Salami montañés extra El Pozo,1.85,1.0,ud
Salchichón cular ibérico extra La Hacienda del ibérico,7.50,0.5,kg
Mini salchichón ibérico extra La Hacienda del ibérico,2.65,0.2,kg
Salchichón cular ibérico extra La Hacienda del ibérico,12.30,0.82,kg
Salchichón de bellota ibérico La Hacienda del Ibérico,21.90,1.0,kg
Longaniza de Aragón extra Cárnicas Gállego,3.25,0.25,kg
Longaniza de pavo extra Hacendado lonchas,2.38,0.125,kg
Salchichón de pavo extra Hacendado lonchas,2.38,0.15,kg
Sticks de salami extra Hacendado,1.10,0.05,kg
Pepperoni en lonchas Hacendado,1.60,0.075,kg
Salami extra pimienta Hacendado finas lonchas,1.75,0.1,kg
Chorizo Pamplona extra Hacendado lonchas,1.95,0.225,kg
Chorizo extra Hacendado lonchas,2.10,0.24,kg
Chorizo de pavo extra Hacendado lonchas,2.38,0.15,kg
Chorizo ibérico extra La Hacienda del ibérico lonchas,2.10,0.125,kg
Chorizo picante extra Hacendado,2.49,0.28,kg
Taquitos de chorizo extra Revilla,2.55,0.2,kg
Chorizo extra pimienta Hacendado finas lonchas,1.85,0.1,kg
Chorizo de bellota ibérico cular cortado a máquina,2.92,0.09,kg
Chorizo de cebo ibérico cortado a máquina,2.40,0.09,kg
Chorizo dulce extra Hacendado,2.49,0.28,kg
Mini chorizo ibérico extra La Hacienda del ibérico,2.65,0.2,kg
Chorizo de Tarancón Bricio,3.20,1.0,ud
Chorizo cular ibérico extra La Hacienda del ibérico,7.50,0.5,kg
Chorizo cular ibérico extra La Hacienda del ibérico,14.70,0.98,kg
Chorizo de bellota ibérico extra cular Juan del Roble,25.18,1.15,kg
Chorizo sarta extra picante y ahumado De León,4.30,0.35,kg
Lomo embuchado Hacendado lonchas,2.30,0.125,kg
Cabecero de lomo Hacendado lonchas,2.30,0.125,kg
Butifarra catalana Hacendado lonchas,1.84,0.15,kg
Lomo de cebo ibérico cortado a máquina,4.08,0.09,kg
Lomo de bellota ibérico cortado a máquina,5.13,0.09,kg
Lomo Hacendado,7.00,0.4,kg
Caña de lomo cebo ibérico La Hacienda del ibérico,18.50,0.5,kg
Lomo de bellota ibérico Juan del Roble,85.50,1.9,kg
Caña de lomo cebo ibérico La Hacienda del ibérico,59.20,1.6,kg
Lomo de pavo Hacendado lonchas,2.49,0.1,kg
Jamón serrano Incarlopsa lonchas extrafinas,2.45,0.12,kg
Mini taquitos de jamón Incarlopsa,2.65,0.18,kg
Jamón serrano lonchas Incarlopsa,4.10,0.24,kg
Jamón gran reserva cortado a máquina,4.00,0.16,kg
Jamón cebo ibérico cortado a máquina,8.24,0.16,kg
Jamón serrano reserva cortado a cuchillo,3.51,0.09,kg
Jamón cebo ibérico cortado a cuchillo,6.75,0.09,kg
Jamón bellota ibérico cortado a cuchillo,12.15,0.09,kg
Jamón bellota ibérico 100% cortado a cuchillo,14.40,0.09,kg
Jamón de cebo ibérico 50% raza ibérica La Hacienda del Ibérico,4.90,0.1,kg
Jamón serrano medias lonchas Jamcal,4.15,0.24,kg
Paleta curada lonchas Paletas Marpa,2.20,0.12,kg
Jamón de Trevélez lonchas extra finas Antonio Álvarez,3.50,0.12,kg
Taquitos de jamón Incarlopsa,2.65,0.2,kg
Taco jamón curado,3.74,0.22,kg
Hueso garrón Incarlopsa,1.16,0.29,kg
Panceta salada ibérica La Hacienda del ibérico,2.70,0.36,kg
Cecina ahumada natural Embutidos Pajariel lonchas,3.25,0.1,kg
Jamón de Teruel El Ontanar lonchas,3.55,0.12,kg
Jamón serrano gran reserva Costa Brava sin aditivos lonchas,2.30,0.09,kg
Jamón serrano Incarlopsa,58.00,7.6,kg
Paleta de cebo ibérica La Hacienda del Ibérico,58.00,5.0,kg
Jamón de cebo ibérico La Hacienda del Ibérico,136.00,8.5,kg
Jamón de bellota ibérico 50% La Hacienda del Ibérico,391.50,9.0,kg
Jamón bellota ibérico 100% Covap,481.50,9.0,kg
Paleta de cerdo curada Incarlopsa,30.00,4.612,kg
Paté de cerdo La Piara tapa negra,3.95,0.261,kg
Paté de cerdo sabor suave Hacendado,1.35,0.24,kg
Paté de cerdo con finas hierbas Hacendado,1.10,0.16,kg
Paté de cerdo con pimienta Hacendado,1.10,0.16,kg
Paté de cerdo con pimienta verde Hacendado,1.45,0.1,kg
Paté de atún Hacendado,2.00,0.24,kg
Paté de cerdo con finas hierbas Hacendado,1.45,0.1,kg
Crema para untar fiambre de jamón york Hacendado sabor ahumado,1.40,0.16,kg
Paté de salmón Hacendado,1.10,0.16,kg
Paté de jamón Hacendado,1.10,0.16,kg
Paté de cerdo ibérico Hacendado,1.75,0.24,kg
Paté de cerdo sabor intenso Hacendado,1.75,0.24,kg
Paté de cerdo y pollo con trufa y arándanos Hacendado,1.85,0.1,kg
Mousse de pato Hacendado,1.90,0.1,kg
Paté de cerdo Hacendado con cebolla caramelizada,1.55,0.13,kg
Foie gras entero de pato Hacendado,8.30,0.1,kg
Bloc foie gras de pato Hacendado,5.25,0.1,kg
Paté de cerdo campaña Casa Julia,1.30,0.1,kg
Paté de pollo asado Hacendado,1.10,0.16,kg
Sobrasada selecta L'Illa especialidades,1.85,0.25,kg
Sobrasada ibérica L'Illa especialidades,2.25,0.25,kg
Sobrasada de Mallorca Can Pere Joan,4.40,1.0,ud
Sobrasada con miel L'Illa especialidades,2.25,0.2,kg
Sobrasada picante de Mallorca Can Pere Joan,4.40,1.0,ud
Queso curado mezcla Hacendado,17.60,1.63,kg
Queso curado mezcla Hacendado cortado en cuñitas,4.79,0.33,kg
Queso curado mezcla Hacendado,4.63,0.41,kg
Queso curado mezcla Hacendado,11.32,1.034,kg
Queso grana padano Zanetti,3.36,0.23,kg
Queso viejo tostado mezcla Hacendado,21.16,1.64,kg
Queso viejo tostado mezcla Hacendado,5.43,0.395,kg
Queso curado y cheddar Hacendado en dados,1.05,0.125,kg
Queso viejo de oveja Hacendado,19.64,1.54,kg
Queso viejo de oveja Hacendado,5.47,0.38,kg
Queso añejo fuerte de oveja Hacendado,5.81,0.33,kg
Queso viejo intenso mezcla Hacendado,14.00,1.4,kg
Queso viejo intenso mezcla Hacendado,4.55,0.33,kg
Tabla de quesos nacionales Hacendado,4.95,0.24,kg
Queso viejo gouda Hacendado,3.75,0.25,kg
Queso viejo ahumado de oveja Hacendado,5.68,0.33,kg
Queso Arzúa-Ulloa de vaca Punteiro,6.83,0.78,kg
Queso curado cheddar Hacendado,3.00,0.3,kg
Queso añejo de oveja al romero Hacendado,4.78,0.27,kg
Queso curado DOP manchego de oveja Hacendado,7.80,0.35,kg
Queso viejo cremoso de oveja Hacendado,5.08,0.3,kg
Queso grana padano Hacendado en escamas,2.48,0.1,kg
Queso añejo picante mezcla Hacendado,6.31,0.37,kg
Queso añejo seco de oveja Hacendado,5.95,0.34,kg
Queso viejo madurado en cava mezcla Hacendado,4.52,0.315,kg
Queso curado mezcla con trufa Hacendado,4.30,0.2,kg
Queso añejo ibérico mezcla Hacendado cortado en cuñitas,5.84,0.32,kg
Queso Morbier de vaca Hacendado,3.86,0.2,kg
Queso semicurado mezcla Hacendado,14.17,1.54,kg
Queso semicurado mezcla Hacendado,10.58,1.08,kg
Queso semicurado mezcla Hacendado,4.12,0.42,kg
Queso semicurado mezcla Hacendado cortado en cuñitas,4.54,0.34,kg
Queso semicurado de cabra Hacendado,5.46,0.39,kg
Queso semicurado Gouda Hacendado,3.15,0.35,kg
Queso semicurado sin lactosa mezcla Hacendado,5.42,0.43,kg
Queso semicurado de oveja Hacendado,3.75,0.28,kg
Queso emmental de vaca Hacendado,2.85,0.35,kg
Queso tierno de vaca Hacendado cortado en cuñitas,2.50,0.32,kg
Queso tierno tronchón mezcla Montesinos,12.78,1.2,kg
Queso tierno tronchón mezcla Montesinos,2.99,0.26,kg
Queso tierno mezcla Hacendado,10.25,1.22,kg
Queso tierno mezcla Hacendado,3.11,0.35,kg
Queso tierno mezcla Hacendado cortado en cuñitas,3.90,0.325,kg
Queso tierno bajo en sal mezcla Hacendado,3.66,0.35,kg
Queso tierno maasdam de vaca Holland Corona,3.35,0.4,kg
Queso tierno gouda de vaca Holland,3.30,0.45,kg
Queso tierno bola edam de vaca Holland Corona,3.80,0.455,kg
Queso tierno de cabra Hacendado,4.55,0.35,kg
Queso lonchas cremoso havarti de vaca Hacendado,2.75,0.3,kg
Queso lonchas tierno mezcla Entrepinares,2.30,0.25,kg
Queso lonchas cremoso light havarti de vaca Hacendado,2.75,0.3,kg
Queso lonchas semicurado mezcla Entrepinares,2.39,0.21,kg
Queso lonchas fundido sándwich mezcla Hacendado,1.20,0.2,kg
Queso lonchas gouda de vaca Hacendado,2.15,0.3,kg
Queso lonchas de cabra Entrepinares,3.09,0.22,kg
Queso lonchas tierno de vaca Entrepinares,2.35,0.3,kg
Queso lonchas fundido suave mezcla Hacendado,2.20,0.555,kg
Queso lonchas edam de vaca Holland Corona,2.05,0.3,kg
Queso lonchas mozzarella de vaca Hacendado,1.70,0.2,kg
Queso lonchas cheddar de vaca Hacendado,1.75,0.2,kg
Queso lonchas emmental de vaca Hacendado,2.05,0.2,kg
Queso lonchas sin lactosa de vaca Hacendado,1.92,0.15,kg
Queso lonchas de oveja Entrepinares,2.99,0.21,kg
Queso semicurado Gouda Hacendado lonchas,2.20,0.25,kg
Queso lonchas fundido El Caserio,2.55,0.262,kg
Queso lonchas fundido burger mezcla Hacendado,1.75,0.3,kg
Queso lonchas fundido light Hacendado,1.80,0.3,kg
Queso lonchas raclette de vaca Entremont,4.62,0.4,kg
Queso provolone de vaca Hacendado,2.35,0.2,kg
Queso rallado emmental gratinar de vaca Hacendado,1.58,0.2,kg
Queso rallado mozzarella pizza-Roma de vaca Hacendado,1.54,0.2,kg
Queso en polvo especial pasta mezcla Hacendado,1.25,0.15,kg
Queso rallado 4 quesos Hacendado,1.65,0.18,kg
Queso en polvo grana padano Hacendado,1.60,0.1,kg
Queso rallado especial fundir mezcla Hacendado,2.05,0.4,kg
Queso rallado especial fundir mezcla Hacendado,1.25,0.2,kg
Queso rallado sin lactosa de vaca Hacendado,1.63,0.15,kg
Queso rallado gouda de vaca Hacendado,1.44,0.2,kg
Queso en porciones Hacendado,2.00,0.375,kg
Queso en porciones sin lactosa Hacendado,1.74,0.125,kg
Queso en porciones light Hacendado,1.49,0.25,kg
Queso en porciones mini Babybel,3.41,0.16,kg
Queso fundido con palitos La vaca que ríe,2.39,0.14,kg
Queso untar suave de vaca Hacendado,1.29,0.3,kg
Queso untar original Philadelphia,2.74,0.27,kg
Queso untar light Philadelphia,2.74,0.27,kg
Queso untar light de vaca Hacendado,1.29,0.3,kg
Crema de queso camembert Hacendado,1.59,0.15,kg
Mousse de queso de vaca con ajo y finas hierbas Hacendado,1.30,0.15,kg
Queso untar de vaca con finas hierbas Hacendado,1.54,0.2,kg
Crema de queso suave Hacendado,1.15,0.125,kg
Queso untar con queso azul de vaca Hacendado,1.68,0.2,kg
Queso untar sin lactosa de vaca Hacendado,1.68,0.2,kg
Crema de queso viejo tostado mezcla Hacendado,1.68,0.15,kg
Queso fresco Burgos natural Hacendado,1.90,0.5,kg
Queso fresco Burgos natural Hacendado,1.05,0.25,kg
Mozzarella fresca de vaca Hacendado,0.95,0.25,kg
Queso fresco servilleta tradicional de vaca Hacendado,2.40,0.25,kg
Queso fresco Burgos desnatado 0% m.g Hacendado,1.05,0.25,kg
Queso feta mezcla Hacendado en dados,2.30,0.37,kg
Queso fresco de vaca Burgo de Arias,3.00,0.216,kg
Mozzarella fresca de vaca Hacendado en perlas,1.85,0.3,kg
